Vendor,Location,Department,Role,Currency,Amount,Item,Rate,Quantity,Summary,Tag,id
Amazon,"Bangalore, India",Human Resource,Manager,INR,8370,Projector,4185,2,"Manager from Human Resource spent 8370 INR on Projector at Amazon in Bangalore, India.",Office Supply,OVE8BDZC0D
Swiggy,"Chennai, India",Operations,Employee,INR,14598,Meal,4866,3,"Employee from Operations spent 14598 INR on Meal at Swiggy in Chennai, India.",Meals,7S14V2ZXDV
OYO,"Mumbai, India",Sales,Manager,INR,4262,Flight Ticket,2131,2,"Manager from Sales spent 4262 INR on Flight Ticket at OYO in Mumbai, India.",Travel,H01IKW1IX6
Ola,"New Delhi, India",Operations,Team Lead,INR,12027,Flight Ticket,4009,3,"Team Lead from Operations spent 12027 INR on Flight Ticket at Ola in New Delhi, India.",Travel,1H170IQY0M
MakeMyTrip,"Hyderabad, India",Marketing,Manager,INR,14190,Flight Ticket,4730,3,"Manager from Marketing spent 14190 INR on Flight Ticket at MakeMyTrip in Hyderabad, India.",Travel,VQQILYVQQX
Amazon,"Toronto, Canada",Marketing,Manager,CAD,12789,Projector,4263,3,"Manager from Marketing spent 12789 CAD on Projector at Amazon in Toronto, Canada.",Office Supply,WGNSDLP1O3
Uber,"Paris, France",Finance & Accounting,Employee,EUR,4083,Flight Ticket,1361,3,"Employee from Finance & Accounting spent 4083 EUR on Flight Ticket at Uber in Paris, France.",Travel,5XPFBGZ3RE
Expedia,"Mumbai, India",Finance & Accounting,Team Lead,INR,7446,Flight Ticket,2482,3,"Team Lead from Finance & Accounting spent 7446 INR on Flight Ticket at Expedia in Mumbai, India.",Travel,QPW5PTSJE2
Expedia,"New York, USA",Marketing,Employee,USD,2104,Flight Ticket,2104,1,"Employee from Marketing spent 2104 USD on Flight Ticket at Expedia in New York, USA.",Travel,MZBWG547R1
Zomato,"New Delhi, India",Finance & Accounting,Manager,INR,1278,Meal,1278,1,"Manager from Finance & Accounting spent 1278 INR on Meal at Zomato in New Delhi, India.",Meals,16EJCCW2ZL
Ola,"Lucknow, India",Human Resource,Manager,INR,5193,Deluxe Room,1731,3,"Manager from Human Resource spent 5193 INR on Deluxe Room at Ola in Lucknow, India.",Travel,PZK7UQS2H3
Goibibo,"Bangalore, India",Marketing,Dept Head,INR,7464,Flight Ticket,3732,2,"Dept Head from Marketing spent 7464 INR on Flight Ticket at Goibibo in Bangalore, India.",Travel,BWENQEO916
Goibibo,"Chennai, India",Finance & Accounting,Team Lead,INR,8526,Flight Ticket,4263,2,"Team Lead from Finance & Accounting spent 8526 INR on Flight Ticket at Goibibo in Chennai, India.",Travel,LB4P7N8DXB
OYO,"New York, USA",Marketing,Team Lead,USD,14106,Flight Ticket,4702,3,"Team Lead from Marketing spent 14106 USD on Flight Ticket at OYO in New York, USA.",Travel,4CG8B7TLD8
Zomato,"Bangalore, India",Finance & Accounting,Team Lead,INR,2743,Meal,2743,1,"Team Lead from Finance & Accounting spent 2743 INR on Meal at Zomato in Bangalore, India.",Meals,MHNP5BQ6P4
Swiggy,"Chennai, India",Operations,Team Lead,INR,6608,Meal,3304,2,"Team Lead from Operations spent 6608 INR on Meal at Swiggy in Chennai, India.",Meals,U6B51ZPDLJ
MakeMyTrip,"Bangalore, India",Human Resource,Dept Head,INR,8362,Flight Ticket,4181,2,"Dept Head from Human Resource spent 8362 INR on Flight Ticket at MakeMyTrip in Bangalore, India.",Travel,0K0H033BOI
OYO,"Kolkata, India",Sales,Manager,INR,11985,Deluxe Room,3995,3,"Manager from Sales spent 11985 INR on Deluxe Room at OYO in Kolkata, India.",Travel,LNRBQ8FBKM
Zomato,"New Delhi, India",Marketing,Dept Head,INR,9646,Meal,4823,2,"Dept Head from Marketing spent 9646 INR on Meal at Zomato in New Delhi, India.",Meals,IS6DBD2W0J
Flipkart,"Bangalore, India",Customer Support,Dept Head,INR,1721,Projector,1721,1,"Dept Head from Customer Support spent 1721 INR on Projector at Flipkart in Bangalore, India.",Office Supply,44J65VZMSI
Flipkart,"Hyderabad, India",Human Resource,Employee,INR,2119,Laptop,2119,1,"Employee from Human Resource spent 2119 INR on Laptop at Flipkart in Hyderabad, India.",Office Supply,2PFM01WSI8
Zomato,"Mumbai, India",Operations,Team Lead,INR,9108,Meal,3036,3,"Team Lead from Operations spent 9108 INR on Meal at Zomato in Mumbai, India.",Meals,KAA840Y6AL
MakeMyTrip,"Kolkata, India",IT,Employee,INR,8638,Flight Ticket,4319,2,"Employee from IT spent 8638 INR on Flight Ticket at MakeMyTrip in Kolkata, India.",Travel,HOWMZQ8VDA
Expedia,"Hyderabad, India",Human Resource,Manager,INR,9494,Flight Ticket,4747,2,"Manager from Human Resource spent 9494 INR on Flight Ticket at Expedia in Hyderabad, India.",Travel,I4043969QJ
Ola,"Jaipur, India",Operations,Manager,INR,14667,Deluxe Room,4889,3,"Manager from Operations spent 14667 INR on Deluxe Room at Ola in Jaipur, India.",Travel,6NBXW7I9M8
Expedia,"Kolkata, India",Customer Support,Manager,INR,11751,Deluxe Room,3917,3,"Manager from Customer Support spent 11751 INR on Deluxe Room at Expedia in Kolkata, India.",Travel,T0WTGCJVUE
MakeMyTrip,"Jaipur, India",IT,Employee,INR,4214,Deluxe Room,4214,1,"Employee from IT spent 4214 INR on Deluxe Room at MakeMyTrip in Jaipur, India.",Travel,ELQDNDYQJF
Ola,"Chennai, India",Operations,Manager,INR,5636,Flight Ticket,2818,2,"Manager from Operations spent 5636 INR on Flight Ticket at Ola in Chennai, India.",Travel,HS3BFY936P
Amazon,"Lucknow, India",Sales,Team Lead,INR,2559,Projector,853,3,"Team Lead from Sales spent 2559 INR on Projector at Amazon in Lucknow, India.",Office Supply,Q9IJ4D15QS
Goibibo,"Lucknow, India",Sales,Employee,INR,2545,Deluxe Room,2545,1,"Employee from Sales spent 2545 INR on Deluxe Room at Goibibo in Lucknow, India.",Travel,XZG9DI2LZL
Goibibo,"Bangalore, India",Customer Support,Manager,INR,1628,Flight Ticket,1628,1,"Manager from Customer Support spent 1628 INR on Flight Ticket at Goibibo in Bangalore, India.",Travel,R75BEVCACK
MakeMyTrip,"Hyderabad, India",Sales,Dept Head,INR,4379,Flight Ticket,4379,1,"Dept Head from Sales spent 4379 INR on Flight Ticket at MakeMyTrip in Hyderabad, India.",Travel,3QJX0SKPUX
Amazon,"Jaipur, India",Operations,Team Lead,INR,3298,Printer,1649,2,"Team Lead from Operations spent 3298 INR on Printer at Amazon in Jaipur, India.",Office Supply,0XU5PYE29U
Zomato,"Lucknow, India",Sales,Manager,INR,5420,Meal,2710,2,"Manager from Sales spent 5420 INR on Meal at Zomato in Lucknow, India.",Meals,1TJ7AH8IJ5
Swiggy,"Lucknow, India",Operations,Dept Head,INR,2391,Meal,2391,1,"Dept Head from Operations spent 2391 INR on Meal at Swiggy in Lucknow, India.",Meals,8KYQCSLPGH
MakeMyTrip,"Pune, India",Sales,Dept Head,INR,2448,Flight Ticket,816,3,"Dept Head from Sales spent 2448 INR on Flight Ticket at MakeMyTrip in Pune, India.",Travel,KH92G2P718
Zomato,"Bangalore, India",IT,Employee,INR,3408,Meal,3408,1,"Employee from IT spent 3408 INR on Meal at Zomato in Bangalore, India.",Meals,2KUR06C03J
Expedia,"Hyderabad, India",Finance & Accounting,Manager,INR,2797,Flight Ticket,2797,1,"Manager from Finance & Accounting spent 2797 INR on Flight Ticket at Expedia in Hyderabad, India.",Travel,9G9BRZH4C8
MakeMyTrip,"Pune, India",IT,Dept Head,INR,5076,Deluxe Room,2538,2,"Dept Head from IT spent 5076 INR on Deluxe Room at MakeMyTrip in Pune, India.",Travel,XCKWZR6T9S
Amazon,"New Delhi, India",Customer Support,Team Lead,INR,11778,Printer,3926,3,"Team Lead from Customer Support spent 11778 INR on Printer at Amazon in New Delhi, India.",Office Supply,0QJ92GGOFD
Amazon,"Jaipur, India",Human Resource,Manager,INR,3272,Office Chair,1636,2,"Manager from Human Resource spent 3272 INR on Office Chair at Amazon in Jaipur, India.",Office Supply,3M733DYW9Q
Expedia,"Paris, France",Sales,Employee,EUR,1009,Flight Ticket,1009,1,"Employee from Sales spent 1009 EUR on Flight Ticket at Expedia in Paris, France.",Travel,SQ3NJ33TE4
Zomato,"Hyderabad, India",IT,Manager,INR,4914,Meal,1638,3,"Manager from IT spent 4914 INR on Meal at Zomato in Hyderabad, India.",Meals,N8AXPLX4K4
Ola,"Hyderabad, India",Finance & Accounting,Employee,INR,9688,Deluxe Room,4844,2,"Employee from Finance & Accounting spent 9688 INR on Deluxe Room at Ola in Hyderabad, India.",Travel,GGCC776TM5
Expedia,"Mumbai, India",IT,Manager,INR,14850,Deluxe Room,4950,3,"Manager from IT spent 14850 INR on Deluxe Room at Expedia in Mumbai, India.",Travel,EJG8L4ZEJZ
MakeMyTrip,"Mumbai, India",Human Resource,Dept Head,INR,2331,Deluxe Room,777,3,"Dept Head from Human Resource spent 2331 INR on Deluxe Room at MakeMyTrip in Mumbai, India.",Travel,C97641ZM1Q
Ola,"Bangalore, India",Operations,Dept Head,INR,4534,Flight Ticket,2267,2,"Dept Head from Operations spent 4534 INR on Flight Ticket at Ola in Bangalore, India.",Travel,1HA3HL3XJ9
OYO,"Ahmedabad, India",Operations,Employee,INR,4682,Flight Ticket,2341,2,"Employee from Operations spent 4682 INR on Flight Ticket at OYO in Ahmedabad, India.",Travel,HG2FN9MGS8
Expedia,"Bangalore, India",IT,Employee,INR,1611,Flight Ticket,1611,1,"Employee from IT spent 1611 INR on Flight Ticket at Expedia in Bangalore, India.",Travel,VA37NL2QRO
MakeMyTrip,"Mumbai, India",IT,Manager,INR,14589,Deluxe Room,4863,3,"Manager from IT spent 14589 INR on Deluxe Room at MakeMyTrip in Mumbai, India.",Travel,QDZ9QMS2NG
Flipkart,"Bangalore, India",Customer Support,Employee,INR,6510,Laptop,3255,2,"Employee from Customer Support spent 6510 INR on Laptop at Flipkart in Bangalore, India.",Office Supply,DFDGZJPK5S
MakeMyTrip,"Chennai, India",IT,Team Lead,INR,3941,Flight Ticket,3941,1,"Team Lead from IT spent 3941 INR on Flight Ticket at MakeMyTrip in Chennai, India.",Travel,YHBIHKXZ6N
Amazon,"Lucknow, India",Marketing,Dept Head,INR,6900,Laptop,2300,3,"Dept Head from Marketing spent 6900 INR on Laptop at Amazon in Lucknow, India.",Office Supply,IGATRFCT5A
MakeMyTrip,Hong Kong,Human Resource,Team Lead,HKD,1424,Deluxe Room,712,2,Team Lead from Human Resource spent 1424 HKD on Deluxe Room at MakeMyTrip in Hong Kong.,Travel,M207JYEZ3T
Goibibo,Singapore,IT,Dept Head,SGD,2594,Deluxe Room,1297,2,Dept Head from IT spent 2594 SGD on Deluxe Room at Goibibo in Singapore.,Travel,WE8DA9DBZJ
MakeMyTrip,"Lucknow, India",Finance & Accounting,Manager,INR,6078,Flight Ticket,3039,2,"Manager from Finance & Accounting spent 6078 INR on Flight Ticket at MakeMyTrip in Lucknow, India.",Travel,O9HIMDDLT4
Ola,"Bangalore, India",Operations,Manager,INR,9076,Flight Ticket,4538,2,"Manager from Operations spent 9076 INR on Flight Ticket at Ola in Bangalore, India.",Travel,CWMWFQK567
OYO,"New Delhi, India",Customer Support,Manager,INR,2142,Flight Ticket,2142,1,"Manager from Customer Support spent 2142 INR on Flight Ticket at OYO in New Delhi, India.",Travel,K9L0EBA566
MakeMyTrip,"New Delhi, India",Sales,Employee,INR,3958,Deluxe Room,1979,2,"Employee from Sales spent 3958 INR on Deluxe Room at MakeMyTrip in New Delhi, India.",Travel,2FWL2UKXHB
Ola,Singapore,Sales,Team Lead,SGD,2496,Flight Ticket,1248,2,Team Lead from Sales spent 2496 SGD on Flight Ticket at Ola in Singapore.,Travel,H3OUVZFVE9
Flipkart,"New York, USA",Operations,Manager,USD,14595,Office Chair,4865,3,"Manager from Operations spent 14595 USD on Office Chair at Flipkart in New York, USA.",Office Supply,NW6DPONOMO
Expedia,"Jaipur, India",Finance & Accounting,Dept Head,INR,4629,Flight Ticket,4629,1,"Dept Head from Finance & Accounting spent 4629 INR on Flight Ticket at Expedia in Jaipur, India.",Travel,C8APTBTI6X
Goibibo,"Bangalore, India",Customer Support,Employee,INR,9333,Flight Ticket,3111,3,"Employee from Customer Support spent 9333 INR on Flight Ticket at Goibibo in Bangalore, India.",Travel,VHW3P2TG13
MakeMyTrip,"Bangalore, India",Operations,Manager,INR,3490,Deluxe Room,1745,2,"Manager from Operations spent 3490 INR on Deluxe Room at MakeMyTrip in Bangalore, India.",Travel,801VJE6ZQP
OYO,"Mumbai, India",Finance & Accounting,Employee,INR,3889,Deluxe Room,3889,1,"Employee from Finance & Accounting spent 3889 INR on Deluxe Room at OYO in Mumbai, India.",Travel,EF1QBNK6ET
Goibibo,"New Delhi, India",Finance & Accounting,Team Lead,INR,3896,Flight Ticket,3896,1,"Team Lead from Finance & Accounting spent 3896 INR on Flight Ticket at Goibibo in New Delhi, India.",Travel,MYWCWADX0M
Amazon,"Mumbai, India",IT,Dept Head,INR,1525,Printer,1525,1,"Dept Head from IT spent 1525 INR on Printer at Amazon in Mumbai, India.",Office Supply,0578ZF67GO
Goibibo,"Mumbai, India",Sales,Employee,INR,2814,Deluxe Room,2814,1,"Employee from Sales spent 2814 INR on Deluxe Room at Goibibo in Mumbai, India.",Travel,8SUE6IZ9TX
OYO,Singapore,Customer Support,Dept Head,SGD,4743,Deluxe Room,1581,3,Dept Head from Customer Support spent 4743 SGD on Deluxe Room at OYO in Singapore.,Travel,S83HHMG7SB
Zomato,"New Delhi, India",Sales,Team Lead,INR,7004,Meal,3502,2,"Team Lead from Sales spent 7004 INR on Meal at Zomato in New Delhi, India.",Meals,3K9CGU5BKB
MakeMyTrip,"Paris, France",Operations,Employee,EUR,4410,Flight Ticket,1470,3,"Employee from Operations spent 4410 EUR on Flight Ticket at MakeMyTrip in Paris, France.",Travel,NDFAYLMF32
Goibibo,"Lucknow, India",Customer Support,Dept Head,INR,3099,Flight Ticket,3099,1,"Dept Head from Customer Support spent 3099 INR on Flight Ticket at Goibibo in Lucknow, India.",Travel,4T4LRS9T8O
Expedia,"Chennai, India",Finance & Accounting,Team Lead,INR,10749,Flight Ticket,3583,3,"Team Lead from Finance & Accounting spent 10749 INR on Flight Ticket at Expedia in Chennai, India.",Travel,2F6UYIO6D8
Expedia,"Lucknow, India",Sales,Employee,INR,7440,Deluxe Room,2480,3,"Employee from Sales spent 7440 INR on Deluxe Room at Expedia in Lucknow, India.",Travel,Y20C7276SU
Swiggy,"Pune, India",Finance & Accounting,Manager,INR,1574,Meal,787,2,"Manager from Finance & Accounting spent 1574 INR on Meal at Swiggy in Pune, India.",Meals,VP8PX72IRO
Ola,"Ahmedabad, India",Customer Support,Team Lead,INR,1147,Flight Ticket,1147,1,"Team Lead from Customer Support spent 1147 INR on Flight Ticket at Ola in Ahmedabad, India.",Travel,J1RBUUNGSH
OYO,"Sydney, Australia",Marketing,Manager,AUD,1437,Deluxe Room,1437,1,"Manager from Marketing spent 1437 AUD on Deluxe Room at OYO in Sydney, Australia.",Travel,08P85F9DXX
Amazon,"Ahmedabad, India",Finance & Accounting,Manager,INR,8520,Printer,2840,3,"Manager from Finance & Accounting spent 8520 INR on Printer at Amazon in Ahmedabad, India.",Office Supply,VF4MSXOCUY
Zomato,"Hyderabad, India",Operations,Dept Head,INR,2316,Meal,2316,1,"Dept Head from Operations spent 2316 INR on Meal at Zomato in Hyderabad, India.",Meals,PSUFXQCLEE
Goibibo,"Lucknow, India",Marketing,Manager,INR,9372,Deluxe Room,3124,3,"Manager from Marketing spent 9372 INR on Deluxe Room at Goibibo in Lucknow, India.",Travel,B4WX1JM2SS
OYO,"Kolkata, India",Human Resource,Manager,INR,2928,Flight Ticket,2928,1,"Manager from Human Resource spent 2928 INR on Flight Ticket at OYO in Kolkata, India.",Travel,HRZUM2QF78
Flipkart,"Dubai, UAE",Sales,Team Lead,AED,4812,Laptop,4812,1,"Team Lead from Sales spent 4812 AED on Laptop at Flipkart in Dubai, UAE.",Office Supply,RTBILDMDII
Flipkart,"Ahmedabad, India",IT,Employee,INR,2094,Office Chair,1047,2,"Employee from IT spent 2094 INR on Office Chair at Flipkart in Ahmedabad, India.",Office Supply,DQI9713MUY
MakeMyTrip,"Toronto, Canada",IT,Dept Head,CAD,10959,Deluxe Room,3653,3,"Dept Head from IT spent 10959 CAD on Deluxe Room at MakeMyTrip in Toronto, Canada.",Travel,NA6TAEFDN7
Swiggy,"Bangalore, India",Operations,Team Lead,INR,3840,Meal,1920,2,"Team Lead from Operations spent 3840 INR on Meal at Swiggy in Bangalore, India.",Meals,HNYE0PE5PL
Expedia,"Lucknow, India",Human Resource,Employee,INR,1946,Deluxe Room,1946,1,"Employee from Human Resource spent 1946 INR on Deluxe Room at Expedia in Lucknow, India.",Travel,D1DOZ545IJ
Goibibo,"Hyderabad, India",Sales,Dept Head,INR,8598,Flight Ticket,4299,2,"Dept Head from Sales spent 8598 INR on Flight Ticket at Goibibo in Hyderabad, India.",Travel,Q8ESDNS9RE
Uber,"Mumbai, India",Operations,Employee,INR,11058,Flight Ticket,3686,3,"Employee from Operations spent 11058 INR on Flight Ticket at Uber in Mumbai, India.",Travel,33BXFBB7QK
Uber,"Lucknow, India",IT,Team Lead,INR,8145,Deluxe Room,2715,3,"Team Lead from IT spent 8145 INR on Deluxe Room at Uber in Lucknow, India.",Travel,65V02HQN6F
Zomato,"Mumbai, India",Finance & Accounting,Manager,INR,4638,Meal,1546,3,"Manager from Finance & Accounting spent 4638 INR on Meal at Zomato in Mumbai, India.",Meals,24Y3SFQJ32
Uber,"Lucknow, India",Human Resource,Employee,INR,6038,Flight Ticket,3019,2,"Employee from Human Resource spent 6038 INR on Flight Ticket at Uber in Lucknow, India.",Travel,5N94ALH22D
Uber,"Jaipur, India",Marketing,Employee,INR,1528,Deluxe Room,764,2,"Employee from Marketing spent 1528 INR on Deluxe Room at Uber in Jaipur, India.",Travel,OE0B3BZABR
Zomato,"Hyderabad, India",Sales,Dept Head,INR,1864,Meal,932,2,"Dept Head from Sales spent 1864 INR on Meal at Zomato in Hyderabad, India.",Meals,9RKHQ7KHDR
Zomato,"Tokyo, Japan",Marketing,Manager,JPY,3071,Meal,3071,1,"Manager from Marketing spent 3071 JPY on Meal at Zomato in Tokyo, Japan.",Meals,2CDJ7U3AT0
Swiggy,"Jaipur, India",Customer Support,Team Lead,INR,9436,Meal,4718,2,"Team Lead from Customer Support spent 9436 INR on Meal at Swiggy in Jaipur, India.",Meals,BPDYE73531
Goibibo,"Kolkata, India",Finance & Accounting,Employee,INR,908,Flight Ticket,908,1,"Employee from Finance & Accounting spent 908 INR on Flight Ticket at Goibibo in Kolkata, India.",Travel,4L72Z3B9MP
Expedia,"Kolkata, India",Operations,Employee,INR,4281,Flight Ticket,1427,3,"Employee from Operations spent 4281 INR on Flight Ticket at Expedia in Kolkata, India.",Travel,RJ18L9YJO3
Amazon,"Jaipur, India",IT,Manager,INR,1100,Printer,1100,1,"Manager from IT spent 1100 INR on Printer at Amazon in Jaipur, India.",Office Supply,4QCIU9X20G
Flipkart,"Tokyo, Japan",Finance & Accounting,Manager,JPY,5991,Office Chair,1997,3,"Manager from Finance & Accounting spent 5991 JPY on Office Chair at Flipkart in Tokyo, Japan.",Office Supply,8OL5CKILR9
Expedia,"Bangalore, India",Marketing,Employee,INR,4916,Deluxe Room,4916,1,"Employee from Marketing spent 4916 INR on Deluxe Room at Expedia in Bangalore, India.",Travel,4QQY6T9J7V
Zomato,"Toronto, Canada",Human Resource,Employee,CAD,12924,Meal,4308,3,"Employee from Human Resource spent 12924 CAD on Meal at Zomato in Toronto, Canada.",Meals,01F4FIUKQJ
Amazon,"Chennai, India",Operations,Team Lead,INR,6608,Printer,3304,2,"Team Lead from Operations spent 6608 INR on Printer at Amazon in Chennai, India.",Office Supply,F16AG0BAXO
Swiggy,"Bangalore, India",IT,Employee,INR,3280,Meal,1640,2,"Employee from IT spent 3280 INR on Meal at Swiggy in Bangalore, India.",Meals,7VRF593P8S
Expedia,"New Delhi, India",Sales,Dept Head,INR,4835,Deluxe Room,4835,1,"Dept Head from Sales spent 4835 INR on Deluxe Room at Expedia in New Delhi, India.",Travel,Q2TZR8TAKR
Ola,"Pune, India",Marketing,Team Lead,INR,9770,Deluxe Room,4885,2,"Team Lead from Marketing spent 9770 INR on Deluxe Room at Ola in Pune, India.",Travel,Z4Z8Y6CB0B
Ola,"New Delhi, India",Sales,Dept Head,INR,2965,Flight Ticket,2965,1,"Dept Head from Sales spent 2965 INR on Flight Ticket at Ola in New Delhi, India.",Travel,O1P860YYSY
OYO,"Pune, India",Human Resource,Manager,INR,2930,Deluxe Room,1465,2,"Manager from Human Resource spent 2930 INR on Deluxe Room at OYO in Pune, India.",Travel,6VFICEY2NM
Goibibo,"Chennai, India",Sales,Dept Head,INR,3366,Flight Ticket,3366,1,"Dept Head from Sales spent 3366 INR on Flight Ticket at Goibibo in Chennai, India.",Travel,QCP8WGY3QN
Swiggy,"Kolkata, India",Finance & Accounting,Manager,INR,4851,Meal,4851,1,"Manager from Finance & Accounting spent 4851 INR on Meal at Swiggy in Kolkata, India.",Meals,FZZS181Z74
OYO,"New Delhi, India",IT,Employee,INR,7353,Flight Ticket,2451,3,"Employee from IT spent 7353 INR on Flight Ticket at OYO in New Delhi, India.",Travel,KJXTNVI0LK
Goibibo,"Chennai, India",Human Resource,Team Lead,INR,2032,Deluxe Room,1016,2,"Team Lead from Human Resource spent 2032 INR on Deluxe Room at Goibibo in Chennai, India.",Travel,WFQG0B8W0H
Amazon,"Pune, India",Operations,Team Lead,INR,909,Projector,909,1,"Team Lead from Operations spent 909 INR on Projector at Amazon in Pune, India.",Office Supply,4IM3YKLIVC
Zomato,"Lucknow, India",Human Resource,Dept Head,INR,9370,Meal,4685,2,"Dept Head from Human Resource spent 9370 INR on Meal at Zomato in Lucknow, India.",Meals,G7W7KDOM5X
Amazon,"Pune, India",Finance & Accounting,Team Lead,INR,11748,Laptop,3916,3,"Team Lead from Finance & Accounting spent 11748 INR on Laptop at Amazon in Pune, India.",Office Supply,1E3TC05EKF
Amazon,"Pune, India",IT,Manager,INR,7892,Office Chair,3946,2,"Manager from IT spent 7892 INR on Office Chair at Amazon in Pune, India.",Office Supply,9LMRVH0FFF
Flipkart,"Pune, India",Finance & Accounting,Team Lead,INR,3297,Projector,1099,3,"Team Lead from Finance & Accounting spent 3297 INR on Projector at Flipkart in Pune, India.",Office Supply,II0FB4LUUY
Swiggy,"Bangalore, India",Customer Support,Dept Head,INR,3536,Meal,3536,1,"Dept Head from Customer Support spent 3536 INR on Meal at Swiggy in Bangalore, India.",Meals,C8U7X4E23X
Zomato,"Chennai, India",Sales,Employee,INR,3999,Meal,3999,1,"Employee from Sales spent 3999 INR on Meal at Zomato in Chennai, India.",Meals,09NN8BQQJT
Swiggy,"Jaipur, India",Finance & Accounting,Manager,INR,8396,Meal,4198,2,"Manager from Finance & Accounting spent 8396 INR on Meal at Swiggy in Jaipur, India.",Meals,VD2UK2V4IL
Flipkart,"Hyderabad, India",Customer Support,Dept Head,INR,4854,Projector,4854,1,"Dept Head from Customer Support spent 4854 INR on Projector at Flipkart in Hyderabad, India.",Office Supply,YUPLVKXEL6
Ola,"Berlin, Germany",Marketing,Manager,EUR,891,Flight Ticket,891,1,"Manager from Marketing spent 891 EUR on Flight Ticket at Ola in Berlin, Germany.",Travel,04P5U41A9N
Amazon,"Bangalore, India",Customer Support,Employee,INR,7332,Projector,2444,3,"Employee from Customer Support spent 7332 INR on Projector at Amazon in Bangalore, India.",Office Supply,KNSTCEQ1R8
Swiggy,"New Delhi, India",Marketing,Employee,INR,9279,Meal,3093,3,"Employee from Marketing spent 9279 INR on Meal at Swiggy in New Delhi, India.",Meals,87XVIAVPI5
Flipkart,"Ahmedabad, India",Operations,Dept Head,INR,7982,Printer,3991,2,"Dept Head from Operations spent 7982 INR on Printer at Flipkart in Ahmedabad, India.",Office Supply,DDXKZJ9MAG
MakeMyTrip,"Mumbai, India",Human Resource,Manager,INR,2308,Deluxe Room,1154,2,"Manager from Human Resource spent 2308 INR on Deluxe Room at MakeMyTrip in Mumbai, India.",Travel,KHBJ3DGICU
MakeMyTrip,"Chennai, India",Human Resource,Dept Head,INR,7416,Flight Ticket,3708,2,"Dept Head from Human Resource spent 7416 INR on Flight Ticket at MakeMyTrip in Chennai, India.",Travel,NW2U1MFKSR
Amazon,"Toronto, Canada",Customer Support,Dept Head,CAD,12762,Laptop,4254,3,"Dept Head from Customer Support spent 12762 CAD on Laptop at Amazon in Toronto, Canada.",Office Supply,PL3G0IV2BY
Uber,"Lucknow, India",Sales,Manager,INR,6474,Flight Ticket,3237,2,"Manager from Sales spent 6474 INR on Flight Ticket at Uber in Lucknow, India.",Travel,19VDHCBJ91
Goibibo,"Chennai, India",Customer Support,Team Lead,INR,12606,Deluxe Room,4202,3,"Team Lead from Customer Support spent 12606 INR on Deluxe Room at Goibibo in Chennai, India.",Travel,T4ARD2FYWN
Amazon,"Pune, India",Operations,Employee,INR,2243,Printer,2243,1,"Employee from Operations spent 2243 INR on Printer at Amazon in Pune, India.",Office Supply,T8RG78OWRI
Expedia,"Mumbai, India",Human Resource,Manager,INR,5910,Deluxe Room,2955,2,"Manager from Human Resource spent 5910 INR on Deluxe Room at Expedia in Mumbai, India.",Travel,C6IS1AB4CR
Amazon,"New Delhi, India",Human Resource,Manager,INR,2637,Laptop,879,3,"Manager from Human Resource spent 2637 INR on Laptop at Amazon in New Delhi, India.",Office Supply,CCYALTOW1T
